id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
6AQbmUe0Qwf5PZnt4HmTXv,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,131.01334,-8.254,132.962,4.0,5.0,0.696,0.809,0.857,True
4Ls53fBNVfaXTROBi6X8Hw,Just Wanna Rock,Lil Uzi Vert,22,2023,123.89057,-7.924,150.185,4.0,11.0,0.485,0.545,0.0385,True
1DgtQlVNotingln271ZKCx,White Horse,Chris Stapleton,22,2023,267.89334,-11.066,145.225,4.0,1.0,0.353,0.77,0.224,False
3nqQXoyQOWXiESFLlDF1hG,Unholy,Sam Smith & Kim Petras,22,2023,156.943,-7.384,131.007,4.0,2.0,0.719,0.454,0.224,False
2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Drake & 21 Savage,22,2023,214.58853,-6.383,129.971,4.0,7.0,0.763,0.72,0.229,True
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake & 21 Savage,21,2023,239.35977,-9.39,160.07,4.0,4.0,0.549,0.518,0.418,True
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,182.66667,-5.298,116.624,4.0,5.0,0.709,0.583,0.533,True
741UUVE2kuITl0c6zuqqbO,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,109.75016,-8.393,144.072,4.0,0.0,0.77,0.58,0.753,True
5HR7yfhSCeoOHRQN05XnZQ,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,169.41896,-4.309,162.542,4.0,10.0,0.497,0.644,0.779,False
7ABLbnD53cQK00mhcaOUVG,LaLa,Myke Towers,20,2023,197.92,-4.045,91.986,4.0,1.0,0.708,0.737,0.607,True
7mXuWTczZNxG5EDcjFEuJR,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,212.87805,-7.118,140.098,3.0,5.0,0.646,0.736,0.873,True
4aA7Lrm6rLGHx5kRMVb7NU,Fight The Feeling,Rod Wave,20,2023,160.7143,-9.213,168.029,5.0,0.0,0.634,0.538,0.152,True
6wsqVwoiVH2kde4k4KKAFU,I Know ?,Travis Scott,20,2023,211.58244,-4.441,117.995,4.0,5.0,0.927,0.619,0.817,True
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,20,2023,202.39578,-10.56,97.05,4.0,7.0,0.735,0.449,0.0955,True
5mHdCZtVyb4DcJw8799hZp,Escapism,RAYE Featuring 070 Shake,20,2023,272.37332,-5.355,96.107,4.0,2.0,0.538,0.742,0.25,True
1nrgBXtczBXNSlqIezjwbR,Memory Lane,Old Dominion,20,2023,172.48,-5.136,118.968,4.0,6.0,0.647,0.774,0.376,False
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,20,2023,194.84875,-6.221,107.071,4.0,2.0,0.777,0.526,0.389,False
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,20,2023,272.1126,-8.562,140.009,4.0,10.0,0.828,0.441,0.533,True
3tpI98Yae25hSvhh6mitA9,ICU,Coco Jones,20,2023,241.62418,-6.765,124.669,3.0,8.0,0.587,0.447,0.315,False
42TtHTxWk782ZBiqyOi2d1,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,290.89224,-7.658,122.811,4.0,0.0,0.447,0.441,0.286,True
2mpoNBkngUEwnaKoBhZ0vl,PRC,Peso Pluma X Natanael Cano,20,2023,184.06648,-6.34,138.078,3.0,7.0,0.784,0.826,0.893,True
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,20,2023,231.75002,-8.603,99.968,4.0,5.0,0.868,0.538,0.732,True
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,181.6211,-3.777,172.037,4.0,8.0,0.621,0.779,0.399,False
6YWME4xCa5Lm6X1exVMQIC,Por Las Noches,Peso Pluma,20,2023,238.88799,-7.494,185.084,3.0,9.0,0.69,0.597,0.453,False
0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana,Ice Spice & Nicki Minaj,20,2023,172.12526,-5.092,147.964,4.0,9.0,0.898,0.689,0.772,True
